instancia,tempo_base,tempo_obtido,custo_base,custo_obtido,diferenca_custo
pr76,1.366,1.16858,108159,1.3787e+07,-1.36788e+07
gr96,3.475,3.04779,55209,7.10961e+06,-7.05432e+06
ulysses16,0.008,0.01044,6859,885587,-878728
kroA200,32.951,25.7845,29368,3.70041e+06,-3.67101e+06
pr107,4.582,4.88305,44303,6.85149e+06,-6.80718e+06
gr24,0.028,0.0284192,1272,173720,-172448
tsp225,45.368,38.2884,3916,475381,-471438
eil76,1.549,1.35292,538,66543.6,-66004.4
eil101,4.436,4.00611,629,76831.6,-76201
si535,758.534,602.95,48466.8,4.99646e+06,-4.94794e+06
fri26,0.033,0.0359611,937,126043,-125106
pr144,10.479,8.94492,58537,8.40732e+06,-8.34878e+06
ch130,10.91,9.28479,6110,764262,-758142
eil51,0.369,0.346921,426,55029,-54602.4
pr299,130.098,108.311,48194.8,6.068e+06,-6.01961e+06
kroD100,4.114,3.47725,21294,2.84103e+06,-2.8197e+06
gr17,0.008,0.0115978,2085,286117,-284032
gr229,61.498,49.7708,134613,1.61025e+07,-1.59676e+07
brg180,12.824,9.31666,1950,2.14978e+06,-2.14783e+06
kroB150,10.634,9.02641,26130,3.39042e+06,-3.36418e+06
ali535,1525,1212.29,202384,2.34022e+07,-2.31981e+07
ts225,28.869,19.58,126643,1.57471e+07,-1.56205e+07
rd400,498.288,392.568,15296.1,1.76631e+06,-1.75089e+06
kroA100,3.468,2.99778,21282,2.88823e+06,-2.86694e+06
hk48,0.336,0.302553,11461,1.53663e+06,-1.52517e+06
dantzig42,0.161,0.148752,699,98401.6,-97702.6
ch150,10.43,8.2389,6528,808232,-801680
gil262,82.271,73.2303,2378.7,283723,-281332
kroA150,11.751,9.44159,26524,3.39936e+06,-3.37273e+06
u159,10.828,8.69768,42080,5.51729e+06,-5.47508e+06
bayg29,0.043,0.0453214,1610,216649,-215039
lin318,188.78,150.624,42045.7,5.08931e+06,-5.04707e+06
pcb442,597.431,505.996,50876,5.89466e+06,-5.84355e+06
ulysses22,0.019,0.0201078,7013,931262,-924249
kroB100,3.748,3.35436,22141,2.95057e+06,-2.9284e+06
kroE100,3.745,3.6531,22068,2.96045e+06,-2.93838e+06
rat195,28.046,25.6084,2326.1,286298,-283959
att48,0.3,0.281228,10628,1.48305e+06,-1.47242e+06
d493,1132.48,910.088,35042,3.94343e+06,-3.90819e+06
d198,33.639,26.0201,15780,1.99086e+06,-1.97507e+06
att532,1778.96,1262.71,27731,3.23542e+06,-3.20761e+06
berlin52,0.374,0.304742,7542,969926,-962337
si175,17.333,13.6237,21407,2.23272e+06,-2.21131e+06
burma14,0.004,0.00624793,3323,461355,-458032
gr21,0.014,0.0159924,2707,393118,-390411
gr202,37.105,29.3254,40160.1,4.59474e+06,-4.55447e+06
st70,1.03,0.933543,675,88238.8,-87563.8
kroC100,3.568,3.09723,20749,2.83722e+06,-2.81644e+06
pr264,64.758,52.8215,49135,7.03007e+06,-6.98083e+06
gr137,11.348,9.79805,69853,9.01863e+06,-8.94878e+06
kroB200,35.53,29.6467,29437.2,3.70019e+06,-3.67063e+06
linhp318,187.536,145.951,42053.1,5.08671e+06,-5.04446e+06
bier127,10.209,9.51211,118282,1.36563e+07,-1.3538e+07
swiss42,0.155,0.13162,1273,170988,-169715
lin105,4.355,3.61415,14379,1.92922e+06,-1.91484e+06
pr136,13.632,12.0031,96772,1.23068e+07,-1.22098e+07
gr431,721.745,610.144,171530,1.99906e+07,-1.98183e+07
fl417,365.503,318.289,11861,1.78053e+06,-1.76866e+06
pr124,7.021,5.49584,59030,8.49948e+06,-8.44029e+06
pr152,8.708,6.85268,73682,1.03866e+07,-1.03128e+07
rat99,4.115,3.70396,1211,156439,-155227
brazil58,0.479,0.428637,25395,3.33016e+06,-3.30477e+06
bays29,0.05,0.04783,2020,271889,-269869
a280,96.623,69.7987,2579,312000,-309407
pr226,45.27,37.0438,80369,1.16309e+07,-1.15505e+07
gr48,0.314,0.293799,5046,668499,-663451
gr120,9.065,8.17033,6942,888924,-881955
rd100,3.983,3.75136,7910,1.02237e+06,-1.01443e+06
